0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
33,0,1,2,0,882,0,0,1,20,10,39,1,151,3,0,0
42,0,2,1,0,-247,1,1,1,20,10,519,1,166,1,1,1
33,7,1,1,0,3444,1,0,1,20,10,144,1,91,4,0,1
36,4,1,2,0,2415,1,0,1,21,10,73,1,86,4,1,0
36,4,1,2,0,0,1,0,1,22,10,140,1,143,3,0,1
44,1,1,1,0,1324,1,0,1,24,10,119,1,89,2,1,0
26,9,2,2,0,172,0,1,1,3,9,21,1,140,4,1,0
51,0,2,1,0,3132,0,0,1,4,9,449,1,176,1,0,0
33,10,0,1,0,1005,1,0,1,9,9,175,1,174,2,0,0
30,0,1,1,0,873,1,0,1,11,9,119,1,167,3,2,0
30,4,2,2,0,1243,1,0,1,12,9,86,1,174,1,0,0
44,2,1,2,0,1631,1,0,0,16,9,81,1,195,2,0,0
51,4,0,2,0,119,0,0,0,16,9,200,1,165,2,0,0
51,9,1,1,0,58,1,0,0,16,9,79,1,129,2,0,0
44,4,1,2,0,6203,1,1,0,16,9,58,1,188,1,0,0
34,9,2,1,0,105,1,0,0,16,9,303,1,196,2,0,0
49,4,1,2,0,1533,0,0,0,16,9,324,1,172,1,0,0
47,3,1,2,0,228,1,0,0,16,9,80,1,118,1,0,0
40,4,2,1,0,1623,1,0,0,16,9,161,1,167,2,0,0
47,1,1,1,0,1484,0,0,0,16,9,297,1,119,3,0,0
38,4,1,2,0,494,0,0,0,16,9,146,1,104,2,1,0
54,9,2,1,0,198,1,1,0,16,9,120,1,171,2,0,0
52,4,1,2,0,1701,1,1,0,16,9,381,1,117,2,1,0
48,0,0,1,0,295,1,0,0,16,9,123,1,164,2,2,0
45,9,1,1,0,1477,1,0,0,16,9,75,1,132,1,0,0
39,0,1,1,0,401,1,0,0,16,9,396,1,129,2,0,0
39,1,1,0,0,3324,0,0,0,16,9,96,1,131,1,0,0
37,4,1,2,1,0,0,0,0,16,9,44,1,123,2,0,0
49,4,1,2,0,64,0,0,0,16,9,208,1,159,1,2,0
43,9,1,1,0,1865,1,0,0,16,9,155,1,186,1,0,0
35,9,0,2,0,1718,1,1,0,16,9,74,1,167,16,1,0
50,4,1,1,0,633,0,1,1,16,9,302,1,111,6,0,0
42,9,2,2,0,35,1,1,0,16,9,38,1,115,5,1,0
56,5,1,1,0,2749,1,1,0,16,9,38,1,172,2,0,0
51,2,1,2,0,209,0,0,0,16,9,130,1,111,2,0,0
50,9,2,1,0,246,1,0,0,16,9,270,1,123,2,0,0
45,9,1,1,0,1415,1,0,0,16,9,483,1,116,1,0,0
40,7,0,1,0,5766,1,1,0,16,9,68,2,173,1,0,0
30,4,1,2,0,101,1,0,0,16,9,348,1,123,1,0,0
39,4,1,2,0,500,1,0,0,16,9,257,1,178,2,1,0
36,4,1,2,0,5057,1,0,0,16,9,70,1,166,10,0,0
34,3,1,2,0,1265,1,0,0,16,9,118,1,164,3,0,0
59,4,1,2,0,0,0,0,0,16,9,90,2,110,2,0,0
53,7,1,1,0,1364,0,0,0,16,9,508,1,115,1,0,0
46,4,2,2,0,46,0,1,0,16,9,80,1,152,1,0,0
52,5,1,1,0,5423,0,1,0,16,9,93,1,115,1,0,0
56,9,0,1,0,689,1,0,0,16,9,110,1,103,4,0,0
34,0,2,1,0,0,1,0,0,16,9,214,1,174,2,0,0
32,0,2,1,0,4344,1,0,0,16,9,79,2,118,3,0,0
59,5,0,1,0,514,1,0,0,16,9,573,1,188,1,1,0
59,4,1,0,0,252,1,1,0,16,9,138,1,175,2,0,0
40,9,1,1,0,0,1,0,0,16,9,74,2,196,1,0,0
43,9,0,1,0,-36,1,0,0,16,9,190,1,104,1,0,0
43,9,1,1,0,0,0,1,0,16,9,103,2,193,3,0,0
55,2,0,2,0,1730,0,0,0,16,9,89,2,118,3,0,0
